fold,train,test,min_trades_train,pick,test_trades,test_sharpe,test_cagr,test_max_dd,test_total_return,test_win_rate,test_wl_ratio,test_audit_passed,test_run_id
1,2022-01-03..2022-12-30,2023-01-03..2023-06-30,12,"{""rs_threshold"": 70, ""breakout_volume"": 1.2, ""stop_max_pct"": 0.1, ""max_positions"": 4}",11,0.8816436292022661,0.07918177963861273,-0.06966843621970253,0.03783482548983197,0.2727272727272727,0.6470250799543861,True,wf1_test_rs_70_bre1.2_sto0.1_max4
2,2022-01-03..2023-06-30,2023-07-03..2023-12-29,18,"{""rs_threshold"": 70, ""breakout_volume"": 1.2, ""stop_max_pct"": 0.1, ""max_positions"": 4}",6,1.6343134388223153,0.1749353355040355,-0.05860847866161856,0.0822114245888701,0.5,2.0506866793507053,True,wf2_test_rs_70_bre1.2_sto0.1_max4
3,2022-01-03..2023-12-29,2024-01-02..2024-06-28,24,"{""rs_threshold"": 70, ""breakout_volume"": 1.2, ""stop_max_pct"": 0.1, ""max_positions"": 4}",7,2.4306013066210577,0.3420811845805183,-0.06023569885866675,0.15417426728724282,0.5714285714285714,1.346248800181692,True,wf3_test_rs_70_bre1.2_sto0.1_max4
