ticker,quarter_end_date,q4_eps,sum_4q,fy_eps,gap,flag
ABM,2025-10-31,0.56,2.59,2.59,0.0,False
ABR,2014-12-31,0.1,1.71,1.7,0.01,False
ABR,2015-12-31,0.1,0.91,0.9,0.01,False
ABR,2016-12-31,0.4,0.83,0.83,0.0,False
ABR,2017-12-31,0.35,1.12,1.12,0.0,False
ABR,2018-12-31,0.46,1.49,1.5,0.01,False
ABR,2019-12-31,0.34,1.26,1.27,0.01,False
ABR,2020-12-31,0.8,1.38,1.41,0.03,False
ABR,2021-12-31,0.87,2.44,2.28,0.16,True
ABR,2022-12-31,0.51,1.68,1.67,0.01,False
ABR,2023-12-31,0.49,1.77,1.75,0.02,False
ABR,2024-12-31,0.32,1.19,1.18,0.01,False
ABR,2025-12-31,0.07,0.55,0.56,0.01,False
ACA,2018-12-31,0.57,1.55,1.54,0.01,False
ACA,2019-12-31,0.43,2.31,2.32,0.01,False
ACA,2020-12-31,0.21,2.18,2.18,0.0,False
ACA,2021-12-31,0.19,1.43,1.42,0.01,False
ACA,2022-12-31,3.2,5.06,5.05,0.01,False
ACA,2023-12-31,0.56,3.26,3.26,0.0,False
ACA,2024-12-31,-0.16,1.91,1.91,0.0,False
ACA,2025-12-31,1.07,4.25,4.24,0.01,False
ACAD,2020-12-31,-0.42,-1.8,-1.79,0.01,False
ACAD,2021-12-31,-0.27,-1.05,-1.05,0.0,False
ACAD,2022-12-31,-0.26,-1.34,-1.34,0.0,False
ACAD,2023-12-31,0.28,-0.38,-0.37,0.01,False
ACAD,2024-12-31,0.86,1.36,1.36,0.0,False
ACAD,2025-12-31,1.58,2.27,2.3,0.03,False
ACHC,2014-12-31,0.37,1.49,1.5,0.01,False
ACHC,2015-12-31,0.49,1.63,1.64,0.01,False
ACHC,2016-12-31,0.48,0.08,0.07,0.01,False
ACHC,2017-12-31,0.8,2.29,2.3,0.01,False
ACHC,2018-12-31,-3.82,-2.04,-2.01,0.03,False
ACHC,2019-12-31,-0.13,1.24,1.24,0.0,False
ACHC,2020-12-31,-8.81,-7.55,-7.59,0.04,False
ACHC,2021-12-31,0.77,2.1,2.1,0.0,False
ACHC,2022-12-31,0.66,2.99,2.98,0.01,False
ACHC,2023-12-31,0.64,-0.24,-0.24,0.0,False
ACHC,2024-12-31,0.35,2.77,2.78,0.01,False
ACHC,2025-12-31,-13.12,-12.3,-12.16,0.14,False
ACI,2020-02-29,0.12,0.8,1.67,0.87,True
ACI,2021-02-27,-0.37,1.32,1.47,0.15,True
ACI,2022-02-26,2.0,4.04,2.7,1.34,True
ACI,2023-02-25,0.67,2.3,2.27,0.03,False
ACI,2024-02-24,0.43,2.23,2.23,0.0,False
ACI,2025-02-22,0.29,1.64,1.64,0.0,False
ACI,2026-02-28,-0.93,0.33,0.4,0.07,True
ACIW,2015-12-31,0.36,0.71,0.72,0.01,False
ACIW,2016-12-31,0.54,1.06,1.09,0.03,False
ACIW,2017-12-31,0.27,0.04,0.04,0.0,False
ACIW,2018-12-31,0.72,0.55,0.59,0.04,False
ACIW,2019-12-31,0.46,0.56,0.57,0.01,False
ACIW,2020-12-31,0.55,0.59,0.62,0.03,False
ACIW,2021-12-31,0.92,1.07,1.08,0.01,False
ACIW,2022-12-31,0.81,1.26,1.24,0.02,False
ACIW,2023-12-31,1.12,1.11,1.12,0.01,False
ACIW,2024-12-31,0.92,1.91,1.91,0.0,False
ACIW,2025-12-31,0.62,2.17,2.16,0.01,False
ACLS,2014-12-31,0.0,-0.1,-0.1,0.0,False
ACLS,2015-12-31,0.01,0.13,0.12,0.01,False
ACLS,2017-12-31,2.63,3.69,3.8,0.11,False
ACLS,2018-12-31,0.25,1.35,1.35,0.0,False
ACLS,2019-12-31,0.29,0.51,0.5,0.01,False
ACLS,2020-12-31,0.43,1.47,1.46,0.01,False
ACLS,2021-12-31,1.05,2.89,2.88,0.01,False
ACLS,2022-12-31,1.71,5.46,5.46,0.0,False
ACLS,2023-12-31,2.15,7.43,7.43,0.0,False
ACLS,2024-12-31,1.54,6.15,6.15,0.0,False
ACLS,2025-12-31,1.11,3.8,3.8,0.0,False
ACM,2015-09-30,0.01,-1.08,-1.04,0.04,False
ACM,2016-09-30,0.05,0.62,0.62,0.0,False
ACM,2017-09-30,0.55,2.14,2.13,0.01,False
ACM,2018-09-30,0.51,0.82,0.84,0.02,False
ACM,2019-09-30,-3.15,-1.82,-1.66,0.16,True
