ticker,quarter_end_date,q4_eps,sum_4q,fy_eps,gap,flag
BBT,2023-12-31,-0.03,1.6,1.6,0.0,False
BBT,2024-12-31,0.46,1.44,1.43,0.01,False
BBT,2025-12-31,0.64,1.05,1.03,0.02,False
BBWI,2015-01-31,1.88,3.48,3.5,0.02,False
BBWI,2016-01-30,2.15,4.22,4.22,0.0,False
BBWI,2017-01-28,2.18,3.99,3.98,0.01,False
BBWI,2018-02-03,2.33,3.44,3.42,0.02,False
BBWI,2019-02-02,1.93,2.3,2.31,0.01,False
BBWI,2020-02-01,-0.71,-1.34,-1.33,0.01,False
BBWI,2021-01-30,3.01,2.93,3.0,0.07,False
BBWI,2022-01-29,2.28,4.92,4.88,0.04,False
BBWI,2023-01-28,1.9,3.46,3.43,0.03,False
BBWI,2024-02-03,2.53,3.83,3.84,0.01,False
BBWI,2025-02-01,2.1,3.65,3.61,0.04,False
BBWI,2026-01-31,1.98,3.14,3.11,0.03,False
BC,2014-12-31,-0.05,2.58,2.58,0.0,False
BC,2015-12-31,-0.1,2.56,2.56,0.0,False
BC,2016-12-31,0.19,2.99,3.0,0.01,False
BC,2017-12-31,-1.31,1.6,1.62,0.02,False
BC,2018-12-31,0.49,3.01,3.01,0.0,False
BC,2019-12-31,0.81,-1.54,-1.53,0.01,False
BC,2020-12-31,1.21,4.69,4.68,0.01,False
BC,2021-12-31,1.3,7.57,7.57,0.0,False
BC,2022-12-31,1.95,8.99,9.0,0.01,False
BC,2023-12-31,0.88,5.95,5.96,0.01,False
BC,2024-12-31,-1.23,1.91,1.93,0.02,False
BC,2025-12-31,0.29,-2.11,-2.08,0.03,False
BCC,2014-12-31,0.4,2.03,2.03,0.0,False
BCC,2015-12-31,0.06,1.32,1.33,0.01,False
BCC,2016-12-31,0.11,0.99,0.98,0.01,False
BCC,2017-12-31,0.49,2.13,2.12,0.01,False
BCC,2018-12-31,-1.84,0.51,0.52,0.01,False
BCC,2019-12-31,0.37,2.06,2.06,0.0,False
BCC,2020-12-31,0.66,4.43,4.44,0.01,False
BCC,2021-12-31,4.27,17.96,17.97,0.01,False
BCC,2022-12-31,2.95,21.57,21.56,0.01,False
BCC,2023-12-31,2.44,12.12,12.12,0.0,False
BCC,2024-12-31,1.78,9.56,9.57,0.01,False
BCC,2025-12-31,0.24,3.52,3.53,0.01,False
BCO,2014-12-31,-0.98,-1.74,-1.71,0.03,False
BCO,2015-12-31,-0.07,-0.24,-0.24,0.0,False
BCO,2016-12-31,0.25,0.68,0.68,0.0,False
BCO,2017-12-31,-1.0,0.33,0.32,0.01,False
BCO,2018-12-31,0.72,-0.62,-0.65,0.03,False
BCO,2019-12-31,-0.05,0.57,0.57,0.0,False
BCO,2020-12-31,0.5,0.3,0.31,0.01,False
BCO,2021-12-31,1.01,2.11,2.1,0.01,False
BCO,2022-12-31,0.95,3.56,3.57,0.01,False
BCO,2023-12-31,-0.11,1.86,1.87,0.01,False
BCO,2024-12-31,0.88,3.64,3.63,0.01,False
BCO,2025-12-31,1.62,4.69,4.69,0.0,False
BCPC,2014-12-31,0.61,1.7,1.69,0.01,False
BCPC,2015-12-31,0.49,1.88,1.89,0.01,False
BCPC,2016-12-31,0.5,1.75,1.75,0.0,False
BCPC,2017-12-31,1.3,2.79,2.79,0.0,False
BCPC,2018-12-31,0.63,2.43,2.42,0.01,False
BCPC,2019-12-31,0.63,2.46,2.45,0.01,False
BCPC,2020-12-31,0.68,2.6,2.6,0.0,False
BCPC,2021-12-31,0.76,2.95,2.94,0.01,False
BCPC,2022-12-31,0.66,3.25,3.25,0.0,False
BCPC,2023-12-31,0.82,3.35,3.35,0.0,False
BCPC,2024-12-31,1.02,3.92,3.93,0.01,False
BCPC,2025-12-31,1.21,4.75,4.75,0.0,False
BDC,2014-12-31,0.37,1.7,1.69,0.01,False
BDC,2015-12-31,1.15,1.53,1.54,0.01,False
BDC,2016-12-31,0.59,2.64,2.65,0.01,False
BDC,2017-12-31,0.51,1.37,1.37,0.0,False
BDC,2018-12-31,0.78,2.92,3.08,0.16,True
BDC,2019-12-31,-3.21,-8.65,-9.37,0.72,True
BDC,2020-12-31,0.15,-1.24,-1.23,0.01,False
BDC,2021-12-31,-1.09,1.43,1.41,0.02,False
BDC,2022-12-31,1.42,5.75,5.72,0.03,False
BDC,2023-12-31,0.91,5.66,5.66,0.0,False
BDC,2024-12-31,1.42,4.81,4.8,0.01,False
BDC,2025-12-31,1.7,5.91,5.91,0.0,False
BFAM,2014-12-31,0.28,1.07,1.07,0.0,False
BFAM,2015-12-31,0.39,1.5,1.5,0.0,False
BFAM,2016-12-31,0.28,1.55,1.55,0.0,False
BFAM,2017-12-31,0.86,2.59,2.59,0.0,False
BFAM,2018-12-31,0.79,2.66,2.66,0.0,False
BFAM,2019-12-31,0.81,3.04,3.05,0.01,False
BFAM,2020-12-31,0.04,0.46,0.45,0.01,False
BFAM,2021-12-31,0.29,1.16,1.15,0.01,False
BFAM,2022-12-31,0.31,1.37,1.37,0.0,False
BFAM,2023-12-31,0.09,1.27,1.28,0.01,False
BFAM,2024-12-31,0.5,2.4,2.4,0.0,False
BFAM,2025-12-31,0.38,3.36,3.36,0.0,False
BFH,2014-12-31,0.86,7.87,7.87,0.0,False
BFH,2015-12-31,2.35,8.86,8.85,0.01,False
BFH,2016-12-31,0.18,7.32,7.34,0.02,False
BFH,2017-12-31,4.89,14.14,14.1,0.04,False
BFH,2018-12-31,5.25,17.52,17.49,0.03,False
BFH,2019-12-31,2.06,5.37,5.46,0.09,False
BFH,2020-12-31,0.25,4.48,4.46,0.02,False
BFH,2021-12-31,0.35,16.03,16.02,0.01,False
BFH,2022-12-31,-2.67,4.47,4.46,0.01,False
BFH,2023-12-31,0.87,14.32,14.34,0.02,False
BFH,2024-12-31,0.14,5.55,5.49,0.06,False
BFH,2025-12-31,1.17,10.85,10.89,0.04,False
BFS,2014-12-31,0.25,1.54,1.54,0.0,False
BFS,2015-12-31,0.38,1.42,1.42,0.0,False
BFS,2016-12-31,0.38,1.52,1.52,0.0,False
BFS,2017-12-31,0.38,1.63,1.63,0.0,False
BFS,2018-12-31,0.41,1.6,1.6,0.0,False
BFS,2019-12-31,0.28,1.58,1.57,0.01,False
BFS,2020-12-31,0.28,1.25,1.25,0.0,False
BFS,2021-12-31,0.4,1.58,1.57,0.01,False
BFS,2022-12-31,0.38,1.63,1.63,0.0,False
BFS,2023-12-31,0.43,1.73,1.73,0.0,False
BFS,2024-12-31,0.22,1.63,1.63,0.0,False
BFS,2025-12-31,0.15,1.09,1.09,0.0,False
BGC,2014-12-31,-0.08,0.02,0.02,0.0,False
BGC,2015-12-31,0.31,0.56,0.5,0.06,True
BGC,2016-12-31,0.04,0.36,0.36,0.0,False
BGC,2017-12-31,-0.41,0.0,0.17,0.17,True
BGC,2019-12-31,-0.06,0.15,0.13,0.02,False
BGC,2020-12-31,-0.01,0.13,0.12,0.01,False
BGC,2021-12-31,0.18,0.31,0.32,0.01,False
BGC,2022-12-31,0.01,0.13,0.13,0.0,False
BGC,2023-12-31,0.03,0.06,0.07,0.01,False
BGC,2024-12-31,0.05,0.26,0.25,0.01,False
BGC,2025-12-31,0.03,0.31,0.31,0.0,False
BHE,2014-12-31,0.44,1.52,1.52,0.0,False
BHE,2015-12-31,0.77,1.84,1.83,0.01,False
BHE,2016-12-31,0.37,1.29,1.29,0.0,False
BHE,2017-12-31,-1.59,-0.71,-0.64,0.07,True
BHE,2018-12-31,0.63,0.54,0.49,0.05,True
BHE,2019-12-31,-0.18,0.59,0.6,0.01,False
BHE,2020-12-31,0.21,0.38,0.38,0.0,False
BHE,2021-12-31,0.35,1.0,0.99,0.01,False
BHE,2022-12-31,0.58,1.91,1.91,0.0,False
BHE,2023-12-31,0.48,1.79,1.79,0.0,False
BHE,2024-12-31,0.49,1.72,1.72,0.0,False
BHE,2025-12-31,0.17,0.69,0.68,0.01,False
BHF,2018-12-31,12.03,7.2,7.21,0.01,False
BHF,2019-12-31,-9.57,-6.55,-6.76,0.21,False
BHF,2020-12-31,-11.75,-18.23,-11.58,6.65,True
BHF,2021-12-31,0.54,-1.97,-2.36,0.39,True
BHF,2022-12-31,-14.24,-3.38,-1.36,2.02,True
BHF,2023-12-31,-14.78,-18.62,-18.39,0.23,False
BHF,2024-12-31,10.74,5.11,4.64,0.47,True
BHF,2025-12-31,1.92,5.79,5.71,0.08,False
BILL,2021-06-30,-0.48,-1.17,-1.19,0.02,False
BILL,2022-06-30,-0.81,-3.21,-3.21,0.0,False
BILL,2023-06-30,-0.15,-2.12,-2.11,0.01,False
BILL,2024-06-30,0.08,-0.56,-0.27,0.29,True
BILL,2025-06-30,0.02,-0.07,-0.07,0.0,False
BILL,2026-06-30,-0.22,-0.16,-0.11,0.05,False
BIO,2014-12-31,1.34,3.05,3.05,0.0,False
BIO,2015-12-31,1.68,3.85,3.85,0.0,False
BIO,2016-12-31,-0.69,0.96,0.95,0.01,False
BIO,2017-12-31,2.74,4.05,4.07,0.02,False
BIO,2018-12-31,-27.41,12.12,12.1,0.02,False
BIO,2019-12-31,18.06,57.98,58.27,0.29,False
BIO,2020-12-31,27.73,126.24,126.2,0.04,False
BIO,2021-12-31,-51.98,140.68,140.56,0.12,False
BIO,2022-12-31,28.03,-121.0,-121.79,0.79,False
BIO,2023-12-31,12.27,-21.36,-21.82,0.46,False
BIO,2024-12-31,-25.62,-65.09,-65.36,0.27,False
BIO,2025-12-31,26.65,27.91,27.85,0.06,False
BJ,2019-02-02,0.46,0.95,1.05,0.1,True
BJ,2020-02-01,0.3,1.34,1.35,0.01,False
BJ,2021-01-30,0.69,3.02,3.03,0.01,False
BJ,2022-01-29,0.78,3.09,3.09,0.0,False
BJ,2023-01-28,0.95,3.75,3.76,0.01,False
BJ,2024-02-03,1.08,3.87,3.88,0.01,False
BJ,2025-02-01,0.92,4.0,4.0,0.0,False
BJ,2026-01-31,0.96,4.38,4.38,0.0,False
BJRI,2014-12-30,0.31,0.98,0.97,0.01,False
BJRI,2015-12-29,0.43,1.74,1.73,0.01,False
BJRI,2017-01-03,0.56,1.89,1.88,0.01,False
BJRI,2018-01-02,1.12,2.09,2.06,0.03,False
BJRI,2019-01-01,0.49,2.37,2.35,0.02,False
BJRI,2019-12-31,0.74,2.2,2.2,0.0,False
BJRI,2020-12-29,-0.81,-2.71,-2.74,0.03,False
BJRI,2021-12-28,-0.21,-0.18,-0.16,0.02,False
BJRI,2023-01-03,0.17,0.17,0.17,0.0,False
BJRI,2024-01-02,0.33,0.82,0.82,0.0,False
BJRI,2024-12-31,-0.22,0.69,0.7,0.01,False
BJRI,2025-12-30,0.58,2.15,2.16,0.01,False
BKE,2015-01-31,1.25,3.38,3.38,0.0,False
BKE,2016-01-30,1.13,3.06,3.06,0.0,False
BKE,2017-01-28,0.74,2.02,2.03,0.01,False
BKE,2018-02-03,0.87,1.86,1.85,0.01,False
BKE,2019-02-02,0.84,1.96,1.97,0.01,False
BKE,2020-02-01,0.96,2.14,2.14,0.0,False
BKE,2021-01-30,1.33,2.65,2.66,0.01,False
BKE,2022-01-29,1.69,5.15,5.16,0.01,False
BKE,2023-01-28,1.76,5.13,5.13,0.0,False
BKE,2024-02-03,1.59,4.41,4.4,0.01,False
BKE,2025-02-01,1.53,3.88,3.89,0.01,False
BKE,2026-01-31,1.59,4.14,4.14,0.0,False
BKH,2014-12-31,0.81,2.95,2.89,0.06,False
BKH,2015-12-31,-0.3,-0.7,-0.71,0.01,False
BKH,2016-12-31,0.33,1.37,1.37,0.0,False
BKH,2017-12-31,0.93,3.22,3.21,0.01,False
BKH,2018-12-31,1.48,4.65,4.66,0.01,False
BKH,2019-12-31,1.13,3.29,3.28,0.01,False
BKH,2020-12-31,1.23,3.65,3.65,0.0,False
BKH,2021-12-31,1.11,3.75,3.74,0.01,False
BKH,2022-12-31,1.03,3.91,3.97,0.06,False
BKH,2023-12-31,1.17,3.92,3.91,0.01,False
BKH,2024-12-31,1.37,3.92,3.91,0.01,False
BKH,2025-12-31,1.39,3.98,3.98,0.0,False
BKU,2014-12-31,0.45,1.95,1.95,0.0,False
BKU,2015-12-31,0.52,2.34,2.35,0.01,False
BKU,2016-12-31,0.59,2.09,2.09,0.0,False
BKU,2017-12-31,3.79,5.58,5.58,0.0,False
BKU,2019-12-31,0.91,3.14,3.13,0.01,False
BKU,2020-12-31,0.89,2.06,2.06,0.0,False
BKU,2021-12-31,1.42,4.53,4.52,0.01,False
BKU,2022-12-31,0.83,3.56,3.54,0.02,False
BKU,2023-12-31,0.27,2.38,2.38,0.0,False
BKU,2024-12-31,0.91,3.08,3.08,0.0,False
BKU,2025-12-31,0.9,3.54,3.53,0.01,False
BL,2017-12-31,-0.11,-0.74,-0.73,0.01,False
BL,2018-12-31,-0.14,-0.51,-0.52,0.01,False
BL,2019-12-31,-0.16,-0.58,-0.59,0.01,False
BL,2020-12-31,-0.3,-0.83,-0.83,0.0,False
BL,2021-12-31,-0.63,-1.97,-1.97,0.0,False
BL,2022-12-31,0.19,-0.5,-0.49,0.01,False
BL,2023-12-31,0.26,0.7,0.81,0.11,True
BL,2024-12-31,0.76,1.42,1.45,0.03,False
BL,2025-12-31,0.07,0.39,0.39,0.0,False
BLFS,2017-12-31,-0.04,-0.2,-0.21,0.01,False
BLFS,2018-12-31,0.03,0.12,0.14,0.02,False
BLFS,2019-12-31,0.87,0.22,-0.09,0.31,True
BLFS,2020-12-31,-0.04,-0.79,-0.03,0.76,True
BLFS,2021-12-31,-0.38,-0.22,-0.2,0.02,False
BLFS,2022-12-31,-1.18,-3.29,-3.29,0.0,False
BLFS,2023-12-31,-0.31,-1.53,-1.52,0.01,False
BLFS,2024-12-31,0.27,-0.44,-0.44,0.0,False
BLFS,2025-12-31,0.22,-0.11,-0.1,0.01,False
BLKB,2014-12-31,0.1,0.61,0.62,0.01,False
BLKB,2020-12-31,-0.28,0.16,0.16,0.0,False
BLKB,2021-12-31,-0.14,0.13,0.12,0.01,False
BLKB,2022-12-31,-0.41,-0.88,-0.88,0.0,False
BLKB,2023-12-31,0.1,0.03,0.03,0.0,False
BLKB,2024-12-31,-7.27,-6.35,-5.6,0.75,True
BLKB,2025-12-31,0.77,2.39,2.37,0.02,False
BMI,2017-12-31,0.25,1.18,1.19,0.01,False
BMI,2018-12-31,0.38,0.95,0.95,0.0,False
BMI,2019-12-31,0.42,1.62,1.61,0.01,False
BMI,2020-12-31,0.45,1.7,1.69,0.01,False
BMI,2021-12-31,0.59,2.08,2.08,0.0,False
BMI,2022-12-31,0.6,2.27,2.26,0.01,False
BMI,2023-12-31,0.84,3.14,3.14,0.0,False
BMI,2024-12-31,1.04,4.23,4.23,0.0,False
BMI,2025-12-31,1.14,4.8,4.79,0.01,False
BMRN,2014-12-31,-0.51,-0.96,-0.92,0.04,False
BMRN,2015-12-31,0.43,-1.11,-1.07,0.04,False
BMRN,2016-12-31,-0.45,-3.85,-3.81,0.04,False
BMRN,2017-12-31,-0.29,-0.66,-0.67,0.01,False
BMRN,2018-12-31,-0.02,-0.44,-0.44,0.0,False
BMRN,2019-12-31,0.08,-0.15,-0.13,0.02,False
BMRN,2020-12-31,0.11,4.4,4.53,0.13,False
BMRN,2021-12-31,-0.32,-0.36,-0.35,0.01,False
BMRN,2022-12-31,-0.02,0.72,0.75,0.03,False
BMRN,2023-12-31,0.11,0.88,0.87,0.01,False
BMRN,2024-12-31,0.67,2.23,2.21,0.02,False
BMRN,2025-12-31,-0.22,1.8,1.8,0.0,False
BNL,2018-12-31,0.59,3.18,0.86,2.32,True
BNL,2019-12-31,0.94,3.06,0.83,2.23,True
BNL,2021-12-31,0.19,0.66,0.67,0.01,False
BNL,2022-12-31,0.2,0.72,0.72,0.0,False
BNL,2023-12-31,0.03,0.82,0.83,0.01,False
BNL,2024-12-31,0.14,0.87,0.86,0.01,False
BNL,2025-12-31,0.17,0.5,0.5,0.0,False
BOH,2014-12-31,0.94,3.7,3.69,0.01,False
BOH,2015-12-31,0.99,3.7,3.7,0.0,False
BOH,2016-12-31,1.02,4.23,4.23,0.0,False
BOH,2017-12-31,1.01,4.34,4.33,0.01,False
BOH,2018-12-31,1.3,5.24,5.23,0.01,False
BOH,2019-12-31,1.45,5.57,5.56,0.01,False
BOH,2020-12-31,1.06,3.86,3.86,0.0,False
BOH,2021-12-31,1.6,6.3,6.25,0.05,False
BOH,2022-12-31,1.5,5.48,5.48,0.0,False
BOH,2023-12-31,0.72,4.15,4.14,0.01,False
BOH,2024-12-31,0.85,3.46,3.46,0.0,False
BOH,2025-12-31,1.39,4.62,4.63,0.01,False
BOOT,2015-03-28,0.1,0.51,0.54,0.03,False
BOOT,2016-03-26,0.04,0.36,0.37,0.01,False
BOOT,2017-04-01,0.1,0.53,0.53,0.0,False
BOOT,2018-03-31,0.24,1.04,1.05,0.01,False
BOOT,2019-03-30,0.3,1.36,1.35,0.01,False
BOOT,2020-03-28,0.2,1.64,1.64,0.0,False
BOOT,2021-03-27,0.81,1.99,2.01,0.02,False
BOOT,2022-03-26,1.46,6.33,6.33,0.0,False
BOOT,2023-04-01,1.52,5.61,5.62,0.01,False
BOOT,2024-03-30,0.96,4.8,4.8,0.0,False
BOOT,2025-03-29,1.23,5.87,5.88,0.01,False
BOOT,2026-03-28,1.45,7.35,7.35,0.0,False
BOX,2021-01-31,-0.03,-0.28,-0.28,0.0,False
BOX,2022-01-31,-0.03,-0.32,-0.35,0.03,False
BOX,2023-01-31,0.1,0.05,0.06,0.01,False
BOX,2024-01-31,0.57,0.67,0.67,0.0,False
BOX,2025-01-31,1.12,1.35,1.36,0.01,False
BOX,2026-01-31,0.47,0.59,0.58,0.01,False
BRKR,2014-12-31,0.15,0.33,0.33,0.0,False
BRKR,2015-12-31,0.36,0.6,0.6,0.0,False
BRKR,2016-12-31,0.43,0.95,0.95,0.0,False
BRKR,2017-12-31,-0.02,0.49,0.49,0.0,False
BRKR,2018-12-31,0.5,1.15,1.14,0.01,False
BRKR,2019-12-31,0.44,1.26,1.26,0.0,False
BRKR,2020-12-31,0.45,1.03,1.02,0.01,False
BRKR,2021-12-31,0.5,1.82,1.81,0.01,False
BRKR,2022-12-31,0.66,1.99,1.99,0.0,False
BRKR,2023-12-31,1.41,2.92,2.9,0.02,False
BRKR,2024-12-31,0.09,0.76,0.76,0.0,False
BRKR,2025-12-31,0.17,-0.08,-0.15,0.07,True
BROS,2022-12-31,-0.01,-0.1,-0.09,0.01,False
BROS,2023-12-31,-0.02,0.03,0.03,0.0,False
BROS,2024-12-31,0.03,0.34,0.34,0.0,False
BROS,2025-12-31,0.17,0.64,0.64,0.0,False
BRX,2014-12-31,0.08,0.36,0.36,0.0,False
BRX,2015-12-31,0.17,0.63,0.65,0.02,False
BRX,2016-12-31,0.3,0.9,0.91,0.01,False
BRX,2017-12-31,0.23,0.98,0.98,0.0,False
BRX,2018-12-31,0.26,1.21,1.21,0.0,False
BRX,2019-12-31,0.21,0.92,0.92,0.0,False
BRX,2020-12-31,0.08,0.4,0.41,0.01,False
BRX,2021-12-31,0.27,0.9,0.9,0.0,False
BRX,2022-12-31,0.35,1.16,1.17,0.01,False
BRX,2023-12-31,0.24,1.01,1.01,0.0,False
BRX,2024-12-31,0.27,1.11,1.11,0.0,False
BRX,2025-12-31,0.44,1.26,1.25,0.01,False
BSY,2020-12-31,0.17,0.42,0.42,0.0,False
BSY,2021-12-31,0.14,0.3,0.3,0.0,False
BSY,2022-12-31,0.08,0.55,0.55,0.0,False
BSY,2023-12-31,0.54,0.99,1.0,0.01,False
BSY,2024-12-31,0.16,0.73,0.72,0.01,False
BSY,2025-12-31,0.18,0.86,0.85,0.01,False
BTSG,2024-12-31,0.08,-0.12,-0.09,0.03,False
BTSG,2025-12-31,0.34,0.87,0.87,0.0,False
BTU,2014-12-31,-1.92,-2.93,-2.94,0.01,False
BTU,2016-12-31,-10.56,-39.87,-40.45,0.58,False
BTU,2019-12-31,-3.08,-2.43,-2.04,0.39,True
BTU,2020-12-31,-1.32,-19.12,-19.14,0.02,False
BTU,2021-12-31,3.84,2.37,3.22,0.85,True
BTU,2022-12-31,4.04,8.03,8.31,0.28,False
BTU,2023-12-31,1.33,4.98,5.0,0.02,False
BTU,2024-12-31,0.24,2.69,2.7,0.01,False
BTU,2025-12-31,0.1,-0.44,-0.43,0.01,False
BURL,2015-01-31,1.19,0.8,0.87,0.07,True
BURL,2016-01-30,1.35,2.03,1.99,0.04,False
BURL,2017-01-28,1.77,3.02,3.01,0.01,False
BURL,2018-02-03,3.47,5.51,5.48,0.03,False
BURL,2019-02-02,2.7,6.05,6.04,0.01,False
BURL,2020-02-01,3.08,6.93,6.91,0.02,False
BURL,2021-01-30,2.38,-3.3,-3.28,0.02,False
BURL,2022-01-29,1.79,6.0,6.0,0.0,False
BURL,2023-01-28,2.83,3.51,3.49,0.02,False
BURL,2024-02-03,3.52,5.24,5.23,0.01,False
BURL,2025-02-01,4.0,7.77,7.8,0.03,False
BURL,2026-01-31,4.81,9.49,9.51,0.02,False
BWA,2014-12-31,0.61,2.86,2.86,0.0,False
BWA,2015-12-31,0.56,2.7,2.7,0.0,False
BWA,2016-12-31,-1.38,0.52,0.55,0.03,False
BWA,2017-12-31,-0.69,2.08,2.08,0.0,False
BWA,2018-12-31,1.1,4.45,4.44,0.01,False
BWA,2019-12-31,1.06,3.6,3.61,0.01,False
BWA,2020-12-31,1.51,2.2,2.34,0.14,True
BWA,2021-12-31,0.54,2.24,2.24,0.0,False
BWA,2022-12-31,1.09,4.0,3.99,0.01,False
BWA,2023-12-31,0.66,2.67,2.67,0.0,False
BWA,2024-12-31,-1.85,1.43,1.5,0.07,False
BWA,2025-12-31,-1.23,1.25,1.28,0.03,False
BWXT,2014-12-31,-0.97,0.25,0.27,0.02,False
BWXT,2015-12-31,-0.0,1.22,1.22,0.0,False
BWXT,2016-12-31,0.36,1.76,1.76,0.0,False
BWXT,2017-12-31,-0.16,1.46,1.47,0.01,False
BWXT,2018-12-31,0.22,2.26,2.27,0.01,False
BWXT,2019-12-31,0.64,2.55,2.55,0.0,False
BWXT,2020-12-31,0.69,2.91,2.91,0.0,False
BWXT,2021-12-31,1.26,3.24,3.24,0.0,False
BWXT,2022-12-31,0.47,2.6,2.6,0.0,False
BWXT,2023-12-31,0.72,2.69,2.68,0.01,False
BWXT,2024-12-31,0.77,3.07,3.07,0.0,False
BWXT,2025-12-31,1.01,3.57,3.58,0.01,False
BXMT,2014-12-31,0.37,1.86,1.86,0.0,False
BXMT,2019-12-31,0.58,2.35,2.35,0.0,False
BXMT,2020-12-31,0.57,0.92,0.97,0.05,True
BXMT,2021-12-31,0.76,2.75,2.77,0.02,False
BXMT,2022-12-31,-0.35,1.36,1.46,0.1,True
BXMT,2023-12-31,-0.02,1.4,1.43,0.03,False
BXMT,2024-12-31,0.21,-1.17,-1.17,0.0,False
BXMT,2025-12-31,0.24,0.65,0.64,0.01,False
BYD,2014-12-31,-0.3,-0.49,-0.48,0.01,False
BYD,2015-12-31,-0.06,0.41,0.42,0.01,False
BYD,2016-12-31,0.11,3.63,3.63,0.0,False
BYD,2017-12-31,0.71,1.64,1.64,0.0,False
BYD,2018-12-31,0.2,1.0,1.0,0.0,False
BYD,2019-12-31,0.21,1.39,1.38,0.01,False
BYD,2020-12-31,0.74,-1.19,-1.19,0.0,False
BYD,2021-12-31,0.96,4.07,4.07,0.0,False
BYD,2022-12-31,1.64,5.88,5.87,0.01,False
BYD,2023-12-31,0.94,6.1,6.12,0.02,False
BYD,2024-12-31,1.92,6.22,6.19,0.03,False
BYD,2025-12-31,1.79,22.75,22.56,0.19,False
CACC,2014-12-31,3.44,12.0,11.92,0.08,False
CACC,2015-12-31,3.8,14.28,14.28,0.0,False
CACC,2016-12-31,4.3,16.31,16.31,0.0,False
CACC,2017-12-31,9.04,24.04,24.04,0.0,False
CACC,2018-12-31,7.71,29.38,29.39,0.01,False
CACC,2019-12-31,8.52,34.58,34.57,0.01,False
CACC,2020-12-31,9.31,23.66,23.47,0.19,False
CACC,2021-12-31,14.82,59.61,59.52,0.09,False
CACC,2022-12-31,9.59,38.96,39.32,0.36,False
CACC,2023-12-31,7.3,22.03,21.99,0.04,False
CACC,2024-12-31,12.12,19.72,19.88,0.16,False
CACC,2025-12-31,11.01,36.52,36.38,0.14,False
CACI,2015-06-30,1.68,5.16,5.17,0.01,False
CACI,2016-06-30,1.76,5.77,5.76,0.01,False
CACI,2017-06-30,1.76,6.53,6.53,0.0,False
CACI,2018-06-30,2.05,11.94,11.93,0.01,False
CACI,2019-06-30,1.96,10.46,10.46,0.0,False
CACI,2020-06-30,3.68,12.61,12.61,0.0,False
CACI,2021-06-30,5.74,18.37,18.3,0.07,False
CACI,2022-06-30,3.93,15.5,15.49,0.01,False
CACI,2023-06-30,4.68,16.45,16.43,0.02,False
CACI,2024-06-30,5.98,18.61,18.6,0.01,False
CACI,2025-06-30,7.14,22.35,22.32,0.03,False
CACI,2026-06-30,7.05,24.15,24.16,0.01,False
CAG,2015-05-31,0.5,-0.59,-0.6,0.01,False
CAG,2016-05-29,0.27,-1.57,-1.56,0.01,False
CAG,2017-05-28,0.36,1.47,1.46,0.01,False
CAG,2018-05-27,0.18,1.98,1.98,0.0,False
CAG,2019-05-26,0.26,1.47,1.52,0.05,False
CAG,2020-05-31,0.41,1.72,1.72,0.0,False
CAG,2021-05-30,0.64,2.66,2.66,0.0,False
CAG,2022-05-29,0.33,1.84,1.84,0.0,False
CAG,2023-05-28,0.08,1.42,1.42,0.0,False
CAG,2024-05-26,-1.18,0.73,0.72,0.01,False
CAG,2025-05-25,0.53,2.39,2.4,0.01,False
CAG,2026-05-31,-3.39,-4.02,-4.0,0.02,False
CAKE,2014-12-30,0.48,1.98,1.96,0.02,False
CAKE,2015-12-29,0.54,2.31,2.3,0.01,False
CAKE,2017-01-03,0.67,2.83,2.83,0.0,False
CAKE,2018-01-02,1.23,3.28,3.27,0.01,False
CAKE,2019-01-01,0.36,2.14,2.14,0.0,False
CAKE,2019-12-31,1.1,2.85,2.86,0.01,False
CAKE,2020-12-29,-0.85,-6.33,-6.32,0.01,False
CAKE,2021-12-28,0.06,1.04,1.01,0.03,False
CAKE,2023-01-03,-0.07,0.83,0.86,0.03,False
CAKE,2024-01-02,0.26,2.06,2.07,0.01,False
CAKE,2024-12-31,0.83,3.2,3.2,0.0,False
CAKE,2025-12-30,0.6,3.07,3.06,0.01,False
CALM,2016-05-28,-0.01,6.53,6.53,0.0,False
CALM,2017-06-03,-0.5,-1.53,-1.54,0.01,False
CALM,2018-06-02,1.47,2.59,2.6,0.01,False
CALM,2019-06-01,-0.41,1.12,1.12,0.0,False
CALM,2020-05-30,1.24,0.37,0.38,0.01,False
CALM,2021-05-29,-0.09,0.04,0.04,0.0,False
CALM,2022-05-28,2.29,2.75,2.72,0.03,False
CALM,2023-06-03,2.27,15.53,15.52,0.01,False
CALM,2024-06-01,2.32,5.69,5.69,0.0,False
CALM,2025-05-31,7.03,24.94,24.95,0.01,False
CALM,2026-05-30,-0.76,6.55,6.63,0.08,False
CALX,2018-12-31,-0.11,-0.37,-0.37,0.0,False
CALX,2019-12-31,0.01,-0.32,-0.32,0.0,False
CALX,2020-12-31,0.39,0.52,0.54,0.02,False
CALX,2021-12-31,0.29,3.51,3.51,0.0,False
CALX,2022-12-31,0.17,0.59,0.6,0.01,False
CALX,2023-12-31,-0.1,0.41,0.42,0.01,False
CALX,2024-12-31,-0.28,-0.46,-0.45,0.01,False
CALX,2025-12-31,0.09,0.24,0.26,0.02,False
CALY,2014-12-31,-0.54,0.1,0.2,0.1,True
CALY,2015-12-31,-0.33,0.17,0.17,0.0,False
CALY,2016-12-31,1.26,1.96,1.98,0.02,False
