ticker,from,to,days,from_q,to_q,class,evidence
KD,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; ProfitLoss:2020-12-31:10-K
KD,2021-12-31,2022-06-30,181,Q4 2021,Q1 2023,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2022-03-31:10-K; EarningsPerShareDiluted:2022-03-31:10-K; ProfitLoss:2022-03-31:10-K
KGS,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; NetIncomeLoss:2022-12-31:10-K
KNF,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; InterestIncomeExpenseNet:2022-12-31:10-K
LFST,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,SOURCE_GAP,
LIF,2021-09-30,2022-03-31,182,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-12-31:10-K; EarningsPerShareDiluted:2021-12-31:10-K; InterestIncomeExpenseNet:2021-12-31:10-K
LTH,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; InterestIncomeExpenseNet:2020-12-31:10-K
LZ,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; InterestIncomeExpenseNet:2020-12-31:10-K
MBC,2022-09-25,2023-03-26,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-25:10-K; EarningsPerShareDiluted:2022-12-25:10-K; NetIncomeLoss:2022-12-25:10-K
MBGL,2025-06-30,2026-06-30,365,Q1 2026,Q2 2026,NO_10K_FACTS,
MFP,2025-06-28,2026-07-04,371,Q1 2026,Q2 2026,NO_10K_FACTS,
MIR,2021-12-31,2022-09-30,273,Q3 2026,Q1 2027,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2022-03-31:10-Q; EarningsPerShareBasic:2022-06-30:10-Q; EarningsPerShareDiluted:2022-03-31:10-Q
MRP,2024-09-30,2025-03-31,182,Q3 2024,Q1 2025,ANNUAL_ONLY,NetIncomeLoss:2024-12-31:10-K; NetIncomeLossAvailableToCommonStockholdersBasic:2024-12-31:10-K; ProfitLoss:2024-12-31:10-K
NABL,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
NATL,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareBasic:2022-12-31:10-K/A; EarningsPerShareDiluted:2022-12-31:10-K
NE,2021-09-30,2022-03-31,182,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-12-31:10-K; EarningsPerShareDiluted:2021-12-31:10-K; NetIncomeLoss:2021-12-31:10-K
NNN,2025-12-31,2026-06-30,181,Q4 2025,Q2 2026,SOURCE_GAP,
NWE,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; NetIncomeLoss:2022-12-31:10-K
NXT,2021-12-31,2022-07-01,182,Q3 2022,Q1 2023,ANNUAL_ONLY,NetIncomeLoss:2022-03-31:10-K; ProfitLoss:2022-03-31:10-K; Revenues:2022-03-31:10-K
OGN,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
OSK,2021-09-30,2022-03-31,182,Q4 2021,Q1 2022,RAW_QUARTER_EXISTS,InterestIncomeExpenseNet:2021-12-31:10-K; ProfitLoss:2021-12-31:10-K; RevenueFromContractWithCustomerExcludingAssessedTax:2021-12-31:10-K
PATH,2020-10-31,2021-04-30,181,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-01-31:10-K; EarningsPerShareDiluted:2021-01-31:10-K; NetIncomeLoss:2021-01-31:10-K
PAYO,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
PHIN,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; ProfitLoss:2022-12-31:10-K
PNFP,2025-06-30,2025-12-31,184,Q2 2025,Q4 2025,SOURCE_GAP,
PRVA,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; InterestIncomeExpenseNet:2020-12-31:10-K
QDEL,2021-10-03,2022-04-03,182,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2022-01-02:10-K; EarningsPerShareBasic:2022-01-02:10-K/A; EarningsPerShareDiluted:2022-01-02:10-K
QNST,2025-03-31,2025-09-30,183,Q3 2025,Q1 2026,ANNUAL_ONLY,EarningsPerShareBasic:2025-06-30:10-K; EarningsPerShareDiluted:2025-06-30:10-K; NetIncomeLoss:2025-06-30:10-K
RAL,2024-09-27,2025-03-28,182,Q3 2024,Q1 2025,ANNUAL_ONLY,EarningsPerShareBasic:2024-12-31:10-K; EarningsPerShareDiluted:2024-12-31:10-K; NetIncomeLoss:2024-12-31:10-K
RDDT,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
RELY,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
RGLD,2021-09-30,2022-03-31,182,Q1 2022,Q3 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-12-31:10-K; EarningsPerShareDiluted:2021-12-31:10-K; NetIncomeLoss:2021-12-31:10-K
RGLD,2022-03-31,2022-09-30,183,Q3 2022,Q1 2023,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2022-06-30:10-Q; EarningsPerShareDiluted:2022-06-30:10-Q; NetIncomeLoss:2022-06-30:10-Q
ROIV,2020-12-31,2021-06-30,181,Q3 2020,Q1 2021,ANNUAL_ONLY,NetIncomeLoss:2021-03-31:10-K; ProfitLoss:2021-03-31:10-K; RevenueFromContractWithCustomerExcludingAssessedTax:2021-03-31:10-K
