ticker,action,date_or_period,category,confidence,source_url,in_index_universe,in_wider_universe,price_data,check_day,trend_template,rs_pct,fundamentals,breakout_signal,regime_open,passes_all,our_candidate_within_30d,our_trade_within_30d
GWRE,HOLD,2024-01-19,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,True,True,True,2024-01-04,True,91.1,FAIL,False,True,False,,
META,HOLD,2024-01-19,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,False,False,False,,,,,,,,,
NVDA,HOLD,2024-01-19,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,False,True,True,,,,,,,,,
TW,HOLD,2024-01-19,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,False,False,False,,,,,,,,,
CAMT,SELL,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
CW,HOLD,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,True,True,True,2024-01-10,True,75.3,FAIL,False,True,False,,
EYPT,HOLD,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
GOOGL,SELL,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,True,True,,,,,,,,exp1_tune_2022_24:2024-01-31,exp1_tune_2022_24:2024-02-01:-6%
GWRE,SELL,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,True,True,True,2024-01-10,True,91.7,FAIL,False,True,False,,
HUBB,HOLD,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
LBPH,HOLD,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
LULU,HOLD,2024-01-25,own_trade,medium,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,False,False,False,,,,,,,,,
