ticker,action,date,in_sp500,check_day,trend_template,rs_pct_vs_sp1500,fundamentals_strict,fund_reason,fund_score_0_4,breakout_50d_high,passes_strict,passes_rank_only,note
TATT,BUY,2025-04,False,2025-04-17,True,98.1,SKIP,NO_FUNDAMENTALS,0.0,True,False,True,
ABVX,HOLD,2025-08,False,2025-08-01,True,98.6,SKIP,NO_FUNDAMENTALS,0.0,False,False,True,
CCL,BUY,2025-08,True,2025-08-01,False,94.1,FAIL,"Q1=PASS, Q2=FAIL, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",3.0,False,False,False,
STX,HOLD,2025-08,True,2025-08-01,True,92.3,PASS,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=PASS",4.0,False,True,True,
UBER,BUY,2025-08,True,2025-08-05,True,88.1,FAIL,"Q1=PASS, Q2=FAIL, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",3.0,False,False,True,
ASML,HOLD,2026-06-11,False,2026-06-04,True,92.9,SKIP,NO_FUNDAMENTALS,0.0,True,False,True,
FRST,HOLD,2026-06-11,False,2026-06-02,True,79.3,FAIL,Q1 FAIL: EPS growth -67.4% < 20%,0.0,True,False,True,
MAR,HOLD,2026-06-11,True,2026-06-05,True,78.1,FAIL,Q1 FAIL: EPS growth 1.7% < 20%,0.0,True,False,True,
MNST,HOLD,2026-06-11,True,2026-06-09,True,74.8,PASS,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",4.0,True,True,True,
MS,HOLD,2026-06-11,True,2026-05-29,True,81.2,FAIL,"Q1=PASS, Q2=FAIL, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",3.0,True,False,True,
PSX,HOLD,2026-06-11,True,2026-05-28,True,79.0,FAIL,Q1 FAIL: EPS growth -56.8% < 20%,0.0,False,False,True,
ROST,HOLD,2026-06-11,True,2026-05-28,True,81.0,FAIL,Q1 FAIL: EPS growth 12.4% < 20%,0.0,False,False,True,
SMFG,HOLD,2026-06-11,False,2026-06-11,True,81.3,SKIP,NO_FUNDAMENTALS,0.0,True,False,True,
VIK,HOLD,2026-06-11,False,2026-06-22,True,90.5,SKIP,NO_FUNDAMENTALS,0.0,True,False,True,
