ticker,cik,fy_end,fy_10k_accn,fy_10k_filed,restated_fields,n_restated_items,restated_detail,direct_q4_eps,direct_q4_net_income,direct_q4_revenue,eps_concept,net_income_concept,revenue_concept,press_release_q4_eps,stored_q4_eps,stored_q4_net_income,stored_q4_revenue,match_eps,match_net_income,match_revenue,in_store,bucket,bucket_store_final_2
TREX,1069878,2016-12-31,0001193125-17-049572,2017-02-21,"eps,net_income",4,net_income 2016-03-31: 10-Q 2.3402e+07 -> 10-K 2.3706e+07; net_income 2016-06-30: 10-Q 2.3279e+07 -> 10-K 2.3725e+07; net_income 2016-09-30: 10-Q 6.898e+06 -> 10-K 7.787e+06; eps 2016-09-30: 10-Q 0.23 -> 10-K 0.26,0.43,12629000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.43,12629000.0,95322000.0,yes,yes,n/a,True,ok,ok
TRIP,1526520,2016-12-31,0001564590-17-001783,2017-02-17,"eps,net_income",2,net_income 2016-03-31: 10-Q 2.7e+07 -> 10-K 2.9e+07; eps 2016-03-31: 10-Q 0.18 -> 10-K 0.2,0.01,1000000.0,316000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.01,1000000.0,316000000.0,yes,yes,yes,True,ok,ok
TRN,99780,2018-12-31,0000099780-19-000019,2019-02-21,revenue,1,revenue 2018-09-30: 10-Q 9.309e+08 -> 10-K 6.069e+08,0.19,27300000.0,735000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-0.19,27300000.0,735000000.0,no,yes,yes,True,"EPS_ONLY_large (NI agrees: share basis, or direct EPS is another line)","EPS_ONLY_large (NI agrees: share basis, or direct EPS is another line e.g. continuing ops)"
TRN,99780,2021-12-31,0000099780-22-000013,2022-02-17,revenue,3,revenue 2021-03-31: 10-Q 3.988e+08 -> 10-K 3.307e+08; revenue 2021-06-30: 10-Q 3.715e+08 -> 10-K 2.933e+08; revenue 2021-09-30: 10-Q 5.035e+08 -> 10-K 4.198e+08,1.37,134000000.0,472200000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,1.37,134000000.0,472200000.0,yes,yes,yes,True,ok,ok
TRU,1552033,2014-12-31,0001552033-16-000079,2016-02-19,eps,1,eps 2014-03-31: 10-Q -0.13 -> 10-K -0.1,-0.09,-13100000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,,,,stored_missing,stored_missing,n/a,False,q4_row_not_in_store,q4_row_not_in_store
TRU,1552033,2015-12-31,0001552033-16-000079,2016-02-19,eps,1,eps 2015-03-31: 10-Q -0.06 -> 10-K -0.04,0.1,19200000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.09,19200000.0,386100000.0,yes,yes,n/a,True,ok,ok
TRU,1552033,2021-12-31,0001552033-22-000008,2022-02-22,revenue,3,revenue 2021-03-31: 10-Q 7.453e+08 -> 10-K 6.989e+08; revenue 2021-06-30: 10-Q 7.742e+08 -> 10-K 7.282e+08; revenue 2021-09-30: 10-Q 7.916e+08 -> 10-K 7.434e+08,5.27,1017400000.0,789800000.0,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,5.26,1017400000.0,789700000.0,yes,yes,yes,True,ok,ok
UE,1611547,2017-12-31,0001611547-18-000009,2018-02-14,eps,1,eps 2017-09-30: 10-Q 0 -> 10-K 0.15,-0.13,-14277000.0,97376000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-0.1,-14277000.0,97376000.0,no,yes,yes,True,EPS_ONLY_small (<=0.03; rounding/dilution),EPS_ONLY_small (<=0.03; rounding/dilution)
UFCS,101199,2017-12-31,0000101199-18-000040,2018-02-28,revenue,2,revenue 2017-03-31: 10-Q 2.83059e+08 -> 10-K 2.51278e+08; revenue 2017-06-30: 10-Q 2.86979e+08 -> 10-K 2.58487e+08,,,273355000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,1.76,45993000.0,273355000.0,n/a,n/a,yes,True,ok,ok
UFPT,914156,2020-12-31,0001171843-21-001724,2021-03-12,eps,1,eps 2020-09-30: 10-Q 0.4 -> 10-K 0,0.55,,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.55,4172000.0,45153000.0,yes,n/a,n/a,True,ok,ok
UMBF,101382,2016-12-31,0001193125-17-053195,2017-02-23,net_income,1,net_income 2016-06-30: 10-Q 3.7297e+07 -> 10-K 3.7518e+07,0.87,42934000.0,,EarningsPerShareDiluted,NetIncomeLoss,,,0.87,42934000.0,247786000.0,yes,yes,n/a,True,ok,ok
UNF,717954,2018-08-25,0001284084-18-000061,2018-10-22,eps,2,eps 2018-02-24: 10-Q 2.85 -> 10-K 0.98; eps 2018-05-26: 10-Q 1.85 -> 10-K -0.25,,34952000.0,434063000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,1.81,34952000.0,434063000.0,n/a,yes,yes,True,ok,ok
UPBD,933036,2014-12-31,0000933036-15-000006,2015-03-02,"eps,net_income,revenue",7,revenue 2014-03-31: 10-Q 8.33746e+08 -> 10-K 8.28473e+08; revenue 2014-06-30: 10-Q 7.73217e+08 -> 10-K 7.68426e+08; revenue 2014-09-30: 10-Q 7.69525e+08 -> 10-K 7.64363e+08; net_income 2014-03-31: 10-Q 2.8857e+07 -> 10-K 2.7266e+07; net_income 2014-06-30: 10-Q 1.7533e+07 -> 10-K 1.7681e+07; net_income 2014-09-30: 10-Q 2.5306e+07 -> 10-K 2.5925e+07; eps 2014-03-31: 10-Q 0.54 -> 10-K 0.51,,,,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.46,24726000.0,781308000.0,n/a,n/a,n/a,True,no_direct_fact,no_direct_fact
UTI,1261654,2014-09-30,0001261654-14-000047,2014-12-03,net_income,3,net_income 2013-12-31: 10-Q 1.66e+06 -> 10-K 1.707e+06; net_income 2014-03-31: 10-Q -1.505e+06 -> 10-K -1.62e+06; net_income 2014-06-30: 10-Q 370000 -> 10-K 366000,0.06,1584000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.06,1584000.0,95346000.0,yes,yes,n/a,True,ok,ok
VAC,1524358,2016-12-30,0001524358-17-000004,2017-02-23,revenue,3,revenue 2016-03-25: 10-Q 4.25043e+08 -> 10-K 4.19171e+08; revenue 2016-06-17: 10-Q 4.29945e+08 -> 10-K 4.25414e+08; revenue 2016-09-09: 10-Q 4.06991e+08 -> 10-K 4.01911e+08,,,,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,1.81,49824000.0,564739000.0,n/a,n/a,n/a,True,no_direct_fact,no_direct_fact
VAC,1524358,2018-12-31,0001524358-19-000008,2019-03-01,"eps,net_income",2,net_income 2018-09-30: 10-Q -5.8e+07 -> 10-K -3.6e+07; eps 2018-09-30: 10-Q -1.75 -> 10-K -1.08,0.91,44000000.0,1052000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.9,44019000.0,1052000000.0,yes,yes,yes,True,ok,ok
VFC,103379,2016-12-31,0001628280-17-002027,2017-03-01,revenue,1,revenue 2016-04-02: 10-Q 2.8393e+09 -> 10-K 2.76494e+09,0.63,264333000.0,3320574000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.67,264333000.0,3320574000.0,no,yes,yes,True,"EPS_ONLY_large (NI agrees: share basis, or direct EPS is another line)","EPS_ONLY_large (NI agrees: share basis, or direct EPS is another line e.g. continuing ops)"
VFC,103379,2017-12-30,0000103379-18-000003,2018-02-28,revenue,3,revenue 2017-04-01: 10-Q 2.58168e+09 -> 10-K 2.50034e+09; revenue 2017-07-01: 10-Q 2.35958e+09 -> 10-K 2.26862e+09; revenue 2017-09-30: 10-Q 3.50882e+09 -> 10-K 3.39293e+09,-0.23,-90269000.0,3649283000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,-0.24,-90269000.0,3649283000.0,yes,yes,yes,True,ok,ok
VIAV,912093,2016-07-02,0000912093-16-000035,2016-08-30,net_income,3,net_income 2015-10-03: 10-Q -6.7e+07 -> 10-K -6.91e+07; net_income 2016-01-02: 10-Q 6.3e+06 -> 10-K 4e+06; net_income 2016-04-02: 10-Q 3.24e+07 -> 10-K 3.38e+07,-0.29,-67900000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,-0.3,-67900000.0,224100000.0,yes,yes,n/a,True,ok,ok
